UUID,IP,NAME,TAGS(Category:Value)
01bb3775-426f-4f09-bcd0-5719264876ac,10.0.2.99;35.182.116.41,ec2-35-182-116-41.ca-central-1.compute.amazonaws.com;ip-10-0-2-99.ca-central-1.compute.internal,
614e6b4a-c01f-4d89-91ce-383d54445971,10.0.2.248,ip-10-0-2-248.ec2.internal,
1ae58a3b-3001-4db0-b1c3-4114ff39e669,10.0.2.8;18.209.16.50,ec2-18-209-16-50.compute-1.amazonaws.com;ip-10-0-2-8.ec2.internal,
7024c7a2-57fc-40ee-98ff-a53f7e07bf4d,10.0.1.7;54.241.222.51;10.0.1.8,ip-10-0-1-7.us-west-1.compute.internal,
e7907db4-ecb6-426f-b14f-6174535bead9,35.158.43.239;10.0.0.166,ec2-35-158-43-239.eu-central-1.compute.amazonaws.com;ip-10-0-0-166.eu-central-1.compute.internal,
3b97a065-0fbb-4ffc-b03c-a11cec98beb7,10.0.2.5;54.82.50.208,ec2-54-82-50-208.compute-1.amazonaws.com;ip-10-0-2-5.ec2.internal,
6aa2ecfd-00c0-4537-8f3a-ec90f5e282c3,10.0.2.246;52.7.20.25,ec2-52-7-20-25.compute-1.amazonaws.com;ip-10-0-2-246.ec2.internal,
cc8796f3-f6fb-499e-ac12-95f0b6176fb5,10.0.2.246;3.81.229.23,ec2-3-81-229-23.compute-1.amazonaws.com;ip-10-0-2-246.ec2.internal,
f2a17281-93c5-44da-8e59-e442cf845750,10.0.2.6;54.242.30.128,ec2-54-242-30-128.compute-1.amazonaws.com;ip-10-0-2-6.ec2.internal,
f45780d5-e37f-49d1-a303-4b5624f6e0f5,10.0.2.218;15.237.125.24,ec2-15-237-125-24.eu-west-3.compute.amazonaws.com;ip-10-0-2-218.eu-west-3.compute.internal,
9523d148-54f0-4851-8801-6ae2d6432398,10.0.2.34;3.34.140.165,ec2-3-34-140-165.ap-northeast-2.compute.amazonaws.com;ip-10-0-2-34.ap-northeast-2.compute.internal,
7c70f0b3-1b85-4467-9118-17703305fca7,10.0.2.5,ip-10-0-2-5.eu-west-2.compute.internal,
ec29ba4c-fc17-4fd0-bb03-87a268a138b7,172.31.10.207,ip-172-31-10-207.us-west-1.compute.internal,
544c070c-2b18-4c59-a1f2-4effe52853b2,172.31.61.25;3.90.85.173,ec2-3-90-85-173.compute-1.amazonaws.com;ip-172-31-61-25.ec2.internal,
18432fd6-c468-4935-82dc-00415d388641,10.0.0.94;3.37.130.211,ec2-3-37-130-211.ap-northeast-2.compute.amazonaws.com;ip-10-0-0-94.ap-northeast-2.compute.internal,
83abd87a-ef13-4e2b-819c-0b62d4c3a14c,10.0.2.6,ip-10-0-2-6.ec2.internal,
01dc527f-6bf0-44fb-862c-1f735870a3f4,172.31.61.23;34.229.254.125,ec2-34-229-254-125.compute-1.amazonaws.com;ip-172-31-61-23.ec2.internal,
fe36da25-b3a6-47e7-885c-31a61b9ccc36,10.0.2.100,ip-10-0-2-100.ec2.internal,
24364127-3e78-458d-9b16-a20885846198,10.0.2.246;54.147.10.160,ec2-54-147-10-160.compute-1.amazonaws.com;ip-10-0-2-246.ec2.internal,
878c7123-37b1-4344-bc28-ca3bdd791e5b,10.0.2.33;3.34.140.156,ec2-3-34-140-156.ap-northeast-2.compute.amazonaws.com;ip-10-0-2-33.ap-northeast-2.compute.internal,
bc4b4e54-e668-4dcc-8cb9-251215235e5d,10.0.2.5;54.163.205.216,ec2-54-163-205-216.compute-1.amazonaws.com;ip-10-0-2-5.ec2.internal,
6309ac67-fffb-46e3-8930-02c493c30883,54.221.26.47;10.0.2.245,ec2-54-221-26-47.compute-1.amazonaws.com;ip-10-0-2-245.ec2.internal,
bfc51e3e-57bc-4d1f-ac20-4650e6bc9b1b,10.0.2.248,ip-10-0-2-248.eu-central-1.compute.internal,
b97fb0f7-e7c4-475f-adda-1a13b45424f2,54.236.12.120;192.168.12.238,ec2-54-236-12-120.compute-1.amazonaws.com;ip-192-168-12-238.ec2.internal,
e2eb71e4-4253-409b-9119-69987ea3a100,10.0.2.244;18.170.169.142,ec2-18-170-169-142.eu-west-2.compute.amazonaws.com;ip-10-0-2-244.eu-west-2.compute.internal,
6cc21070-40a3-4dee-83cf-8088de34a839,10.0.2.246;3.69.149.93,ec2-3-69-149-93.eu-central-1.compute.amazonaws.com;ip-10-0-2-246.eu-central-1.compute.internal,
885c5d6c-82df-4422-87d0-ef5abbec1c45,10.0.2.87;54.180.178.135,ec2-54-180-178-135.ap-northeast-2.compute.amazonaws.com;ip-10-0-2-87.ap-northeast-2.compute.internal,
4f99f7f4-d5c3-43ab-8d75-a7a7021ff421,18.184.214.8;10.0.0.252,ec2-18-184-214-8.eu-central-1.compute.amazonaws.com;ip-10-0-0-252.eu-central-1.compute.internal,
c3dc8e0c-1103-41aa-9a40-c9fa3eadb42a,10.0.2.34;3.101.23.30,ec2-3-101-23-30.us-west-1.compute.amazonaws.com;ip-10-0-2-34.us-west-1.compute.internal,
03eefae1-ca50-4a45-ab25-92e99a5c41e6,10.0.0.7;18.198.247.100,ec2-18-198-247-100.eu-central-1.compute.amazonaws.com;ip-10-0-0-7.eu-central-1.compute.internal,
38e01621-3ace-4f67-9959-7f32e7e62c1c,10.0.2.8;99.81.67.8,ec2-99-81-67-8.eu-west-1.compute.amazonaws.com;ip-10-0-2-8.eu-west-1.compute.internal,
6f082e19-326c-4005-9600-43184b855283,10.0.2.5;13.232.38.246,ec2-13-232-38-246.ap-south-1.compute.amazonaws.com;ip-10-0-2-5.ap-south-1.compute.internal,
1ff7f020-ad68-47f7-bc50-a36c3cefa753,10.0.2.34;3.109.0.122,ec2-3-109-0-122.ap-south-1.compute.amazonaws.com;ip-10-0-2-34.ap-south-1.compute.internal,
7d86b7c4-1d03-43c0-828d-92e1e7ad2b6c,10.0.2.87;52.193.242.235,ec2-52-193-242-235.ap-northeast-1.compute.amazonaws.com;ip-10-0-2-87.ap-northeast-1.compute.internal,
b2d112b7-1b5b-44a8-8a59-35358c222af4,10.0.0.7;18.179.49.231,ec2-18-179-49-231.ap-northeast-1.compute.amazonaws.com;ip-10-0-0-7.ap-northeast-1.compute.internal,
e842da77-b32b-4ce0-a3df-19e2eb31759e,10.0.2.244;15.207.227.68,ec2-15-207-227-68.ap-south-1.compute.amazonaws.com;ip-10-0-2-244.ap-south-1.compute.internal,
5eab24eb-4d34-43d5-bc7e-31f8fb613f9a,10.0.0.62;65.0.76.68,ec2-65-0-76-68.ap-south-1.compute.amazonaws.com;ip-10-0-0-62.ap-south-1.compute.internal,
c3c2f397-64d0-4ba5-a44e-bb8c0dd5cee8,54.168.32.152;10.0.2.6,ec2-54-168-32-152.ap-northeast-1.compute.amazonaws.com;ip-10-0-2-6.ap-northeast-1.compute.internal,
57e3c13c-b00f-4709-82ef-441016c0d921,10.0.2.248;54.71.201.169,ec2-54-71-201-169.us-west-2.compute.amazonaws.com;ip-10-0-2-248.us-west-2.compute.internal,
a987931e-b3f3-4e22-a41e-07092e7ec470,10.0.0.30,ip-10-0-0-30.ap-south-1.compute.internal,
1083a9c4-bd3c-4ea1-afd1-73ae5d33d673,43.206.91.2;10.0.0.200,ec2-43-206-91-2.ap-northeast-1.compute.amazonaws.com;ip-10-0-0-200.ap-northeast-1.compute.internal,
3cb8f676-0c00-4c68-9545-2cb7e4623e2f,10.0.2.246;13.234.134.159,ec2-13-234-134-159.ap-south-1.compute.amazonaws.com;ip-10-0-2-246.ap-south-1.compute.internal,
